partner_id,bad,user_id,log,enum_id,rating,details,useful,good,rowid,ts
4147,ORANEZOS_TP,52088,2012-04-02 09:54,3,"KORNYEZET: 5, KULSO: 3, HOZZAALLAS: 1, TECHNIKA: 1, OSSZKEP: 2","LAKAS: Szép berendezett lakás,-garzon.

KULSO: A képek sokkal szebbek mint a valóság!

HOZZAALLAS: Kénytelen-kelletlen,ha már itt van valamit muszáj!

EGYUTTLET: Miben ügyes?semmiben,elutasító!

ELEGEDETTSEG_ES_AJANLAS: Nem ajánlom,rossz volt,kár volt az időért is!",1,,11729,2026-02-26 01:22:14
4392,TELEFONBAN_MAST_MONDOTT,105163,2013-01-10 22:40,3,"KORNYEZET: 1, KULSO: 1, HOZZAALLAS: 1, TECHNIKA: 1, OSSZKEP: 1",KAPCSOLATFELVETEL: Nagyon elszomorított amikor az első telefon hívásom után már nem vetted fel többször a telefont amit nem értek pedig már vártam a találkozást amit megbeszéltünk tegnap * időre .(,1,,15317,2026-02-26 01:22:14
14006,LEPUKKANT_LAKAS,11020,2013-02-04 10:27,3,"KORNYEZET: 3, KULSO: 4, HOZZAALLAS: 5, TECHNIKA: 5, OSSZKEP: 3","KAPCSOLATFELVETEL: nagyon könnyen

LAKAS: ezt már többször leírtam, véleményem szerint a szolgáltatóknak nem lenne szabad ilyen szintű olcsóságra hajtani, már megint egy tipikus házmesterlakás a nyóckerben. ha bejutsz, akkor már kb. rendben van, de a kaputól a bejáratig vezető nem kevés lépés azért nem kicsit vágyölő.

KULSO: pont olyan mint a képeken, szép-izgalmas a tetkó, a mell környékét viszont talán nem vetkőztetném le

HOZZAALLAS: egyáltalán nem kezdeményező, viszont száz százalékban hagyja magát irányítani. tulajdonképpen azt teszel vele amit akarsz

EGYUTTLET: kíváló ritmusérzéke van a hölgynek :-)

ELEGEDETTSEG_ES_AJANLAS: ebben a körbyezetben nem tudom jó szívvel ajánlani, de egyébként abszolút, már azoknak akik - mint jómagam - a tapasztaltabb, nem nyafogós érettebb hölgyeket kedvelik. elnézést, de nekem a környezet miatt csak három pontos, amúgy a hölgy magasabb kategória.",7,"NAGYON_KEDVES, JO_PARKOLAS",15655,2026-02-26 01:22:14
10479,MEGTEVESZTO_KEPEK,82149,2013-03-18 19:06,0,"KORNYEZET: 3, KULSO: 4, HOZZAALLAS: 5, TECHNIKA: 5, OSSZKEP: 4","KAPCSOLATFELVETEL: Itt az oldalon találtam rá. Írásban tájékoztatott a lehetőségekről, majd szombaton hívtam és délre meg is beszéltük a randit. Dél után 3 perccel értem oda, de még kért pár percet, utána mehettem be.

LAKAS: Az Árpád-hídtól 5 perc autóval, a Honvéd kórház mögötti lakótelep. Sok 10 emeletes ház közül az egyik. Parkolni ingyen lehet a ház előtt és mögött, hely is akad. Busz jár arrafelé, de ide jobb a kocsi. Nem a legpatinásabb ház, mint a lépcsőház sem belülről. A lakás viszont barátságos, főleg, hogy Lorena itt is lakik. A baszoba egyben a nappali is, tehát hely van. Az ágy egy kinyitható kanapé, de teljesen megfelelt. A fürdő panelméret, tehát szűkös. De a célnak megfelel.

KULSO: Lorena fekete melltartóban és bugyiban fogadott. Már írták mások is, nekem is idősebbnek tűnt a kiírtnál. De lehet, hogy tévedek. Alakra csinos, de azért ügyes volt a fotós. A cicik nekem bejöttek, szép nagyok és természetesek. Egyébként kedves, közvetlen lány, rögtön itallal kínált, és megmutatta a fürdőt.

HOZZAALLAS: A hozzáállásával nincs gond. Benne volt mindenben, kezdeményező, élvezte ő is az együttlétet. A lovaglása is tetszett.

EGYUTTLET: Idő és szolgáltatás megbeszélése után én el tusolni, majd ő is kiszalad 2 percre. Visszatérése után mellém fekszik és simogatni kezdjük egymást. Majd ledobja melltartóját és kezelésbe (és szájba) veszem cickóit. Lefelé haladva combjait puszilgatom majd megszabadítom bugyijától is. Vénuszdombja és ajkai, csiklója nyalogatását élvezi, először azt hittem túlságosan is, de szerintem tényleg jól esett neki. Majd ő akart foglalkozni velem. Mellém telepedett és finoman franciázott. Közben úgy helyezkedett, hogy én is tudjam őt simogatni. Éltem is a lehetőséggel, de ő is foglalkozott magával. Majd gumit kértem és hogy üljön bele. Örömmel tett eleget kérésemnek, lassú lovaglást kértem, nehogy túl korán végem legyen. Ezt egy darabig bírta, majd láttam, hogy jó neki, meg nekem is az lesz, kértem hogy gyorsítson. Egyszerre lett végünk. Hatalmasat élveztem a köpenybe. Majd leszedte, letörölgetett és mellém feküdt. Így beszélgettünk még picit majd tus és búcsú.

ELEGEDETTSEG_ES_AJANLAS: Az ajándékot előre kérte, szerintem átlag. Fél órát voltam NF extrával. Gyakorlatban 3/4 óra volt kaputól kapuig. TP-t nem tapasztaltam. A képek alapján picit jobbat vártam, szerintem idősebb pár évvel a kiírtnál, de kedvessége, hozzáállása feledtette velem ezt.",1,"ISTENI_FRANCIA, NAGYON_KEDVES",16182,2026-02-26 01:22:14
4987,KEDVETLEN_HOZZAALLAS,73631,2013-05-19 16:22,0,"KORNYEZET: 5, KULSO: 5, HOZZAALLAS: 4, TECHNIKA: 3, OSSZKEP: 5","KAPCSOLATFELVETEL: A kapcsolat felvétel nem volt könnyű de megérte próbálkozni .

LAKAS: A lakás tiszta és rendezett ami nem könnyű 2 kutya után.

KULSO: A képek vissza adják a külső megjelenést szóval nem zsákba macskát kap az ember.

HOZZAALLAS: Nagyon kezdeményező szinte letépte rólam a ruhát.

EGYUTTLET: Nekem annyira nem jön be a franciája egy kicsit erőszakosan csinálja de ha valaki ezt szereti annak nem lesz problémája vele. Ha felül van akkor nagyon jól tud lóvagólni . De amikor én voltam fölül akkor is aktív .

ELEGEDETTSEG_ES_AJANLAS: Összességben elmegy na jó tényleg érdemes elmenni hozzá.",0,"SZEP_ARCU, BARATNO_FEELING, NAGYON_KEDVES, MAXIMALIS_DISZKRECIO",17027,2026-02-26 01:22:14
8810,MEGTEVESZTO_KEPEK,64654,2013-05-21 15:28,0,"KORNYEZET: 3, KULSO: 3, HOZZAALLAS: 4, TECHNIKA: 5, OSSZKEP: 3","KAPCSOLATFELVETEL: Telefonon, sokadik próbálkozásra. Viszont amikor elértem nagyon kedves volt és alkalmazkodó.

LAKAS: A lakás a célnak megfelelő, kényelmes. A fürdő is jó. Parkolást nem tudom mert gyalog mentem.

KULSO: Szép, bár kicsit idősebbnek tűnik mint a képeken, valamint alacsonyabb volt mint számítottam. Természetesen a cicije volt a kedvencem. :)

HOZZAALLAS: Nagyon kedves volt, akár kezdeményezhetőnek is nevezhető, félórát fizettem kb annyit is voltam vele, beszélgettünk is picit, értelmes csajszi.

EGYUTTLET: Szájjal nagyon jó talán itt érződik legjobban a pornós múlt. Leginkább francia volt csak egy kicsit döngettem.

ELEGEDETTSEG_ES_AJANLAS: Összességében jó volt, bárkinek szívesen ajánlom!",1,"SZEP_ARCU, ISTENI_FRANCIA, NAGYON_KEDVES, MAXIMALIS_DISZKRECIO",17053,2026-02-26 01:22:14
14290,"KEDVETLEN_HOZZAALLAS, TELEFONBAN_MAST_MONDOTT",77787,2013-06-08 05:43,2,"KORNYEZET: 1, KULSO: 1, HOZZAALLAS: 1, TECHNIKA: 1, OSSZKEP: 1","KAPCSOLATFELVETEL: Telefonon egyeztettünk és mindent rendbe lefixáltunk hogy fél óra múlva felhívom a kapuból. Ehhez képest mikor odaértem közölte hogy várjak 10 percet mert kavarodáás van, majd a 10 perc leteltével közölte hogy nem fogad mert nem ér rá, inkább elmegy egy escortra. jó nagy szemét az ilyen mert péntek éjszaka 30 perc volt mire kaptam taxit visszafelé. ja és még ajánlott egy másik helyet is hogy szerinte hova menjek inkább a négy barátnöjhez (ez már majdnemhogy rendes volt tőle )",25,,17294,2026-02-26 01:22:14
6536,MEGTEVESZTO_KEPEK,42086,2013-06-10 09:36,0,"KORNYEZET: 4, KULSO: 4, HOZZAALLAS: 4, TECHNIKA: 4, OSSZKEP: 4","KAPCSOLATFELVETEL: Pár hete voltam Jázminnál, valami masszázs oldalon találtam rá, most látom, hogy itt is jelen van. A spéci bútorról ismertem fel.

LAKAS: Egyszobás lakás egy szép zuglói lakóparkban. A lakás rendben van, a lakóparki bejutás kicsit körülményes: Jázminnal a portánál kell talizni, közben a ház előtt lófrálni és állni a biztonsági őr tekintetét, meg kerülgetni a ki-be mászkáló lakókat. Nem ezt nevezem maximális diszkréciónak:) Parkolni szemben a susnyásban sikerült.

KULSO: A képek retusáltak és jóindulatúan vannak összeválogatva. A hölgy a kiírt kornál minimum 5 évvel idősebb. A kiírtakkal ellentétben a mellei sem eredetiek, jól láthatóak a műtét nyomai.

HOZZAALLAS: Egy óra ESZO+szexre mentem. A teljes egyórás műsor egy begyakorolt koreográfia szerint zajlott, olyan érzésem volt, mint mikor a repülőgépen az utaskísérő leadja a biztonsági bemutatót: ezredszer csinálja, de mindketten tudjuk, hogy ezt pont így kell csinálni, és ezeregyedszerre is így fogja csinálni.

EGYUTTLET: Először egy kötelező közös zuhany során meggyőződött arról, hogy a pöcsömet meg a seggemet rendesen megmostam-e. Majd következett az ESZO masszázs, ami szerintem nem az volt. Kértem a szex és NFVSZ opciókat is, de ezekben se sikerült egymásra hangolódnunk, bár derekasan próbálkoztunk mindketten.

ELEGEDETTSEG_ES_AJANLAS: Korrekt hozzáállás, kulturált szolgáltatás, de nem vágyom vissza.",0,NAGYON_KEDVES,17325,2026-02-26 01:22:14
2669,MEGTEVESZTO_KEPEK,85485,2013-06-17 15:31,0,"KORNYEZET: 5, KULSO: 4, HOZZAALLAS: 5, TECHNIKA: 5, OSSZKEP: 4","KAPCSOLATFELVETEL: Elsőre felvette a telefont, nagyon kedves a hangja.

LAKAS: Szép lakás, célnak tökéletesen megfelel.

KULSO: Koának megfelelő a külseje kár, hogy a fent lévő képek retusáltak.

HOZZAALLAS: Kedves, kezdeményező.

EGYUTTLET: 1 órát voltam nála a szűk puncijával kétszer nagyon hamar kicsavart :)",0,"NAGYON_KEDVES, JO_PARKOLAS",17428,2026-02-26 01:22:14
13111,MAS_FOGADOTT,81635,2013-08-23 00:08,3,"KORNYEZET: 3, KULSO: 4, HOZZAALLAS: 2, TECHNIKA: 2, OSSZKEP: 3","KAPCSOLATFELVETEL: Azonnal sikerült beszélnem vele, és szinte azonnal fogadott is, gyakorlatilag 10 percre voltam a helyszíntől. Mikor a helyszínen voltam már és parkolót kerestem, felhívott egy másik telefonszámról, hogy hol vagyok, mert nem lát a ház előtt... (?)

LAKAS: Mivel késő este voltam, a zsákutcában, de még a környékén se találtam parkolót, mert a lakók elfoglalták a létező összes helyet, így egy kis sétával járt a tetthely felkeresése. Semmi Tibeti hangulat nem érezhető a normál panellakás belső kialakításán, csak annyi, hogy piros fényben úszik a szoba, látni annyit látsz, mint egy grillsütőben a kvarclámpánál, egyszerű, de még is megfelelő. Az ágy kifogástalan max. ennyi... Otthonról a közelből frissen zuhizva loholtam némi szenvedélyért, így a fürdőt nem volt alkalmam megszemlélni. Már ajtó nyitáskor több ember beszélgetése volt kiszűrődő a lakás többi részéből és futkosás, hogy gyere, pill, várj, most a kolléganő megy a fürdőbe, stb..., valakit ez nem zavar, de annyi szent, hogy egy ilyen helyen el ne hidd magadnak, hogy te itt most valakinek is fontos leszel arra a fél órára, netán te leszel majd fókuszban... Van, hogy ettől függetlenül jól sülhet el persze a dolog, de az esélyek erre jelentősen lecsökkennek.

KULSO: Hittem a beszámolóknak, bár régóta nézegettem a csajt, valami eddig még is vissza tartott. Gondoltam itt az ideje a sürgős tűzoltásra. Persze amikor elhiszed magadnak, hogy te már rutinos vagy és nem verhetnek át, akkor úgy is akad olyan társaság, akik bevonzanak több lánnyal ugyanarra a telefonszámra minél több vendéget és könnyen fennakadhatsz a horgon... Nem a hirdetésben szereplő lány nyitott ajtót, de ebben az első pillanatban még nem voltam biztos, mivel a hirdető arca nem látszódik. Viszont a szép természetes cickók vonzották a tekintetem (utólag jöttem á, de hisz szilikon cicit hirdetnek), az arca amolyan átlagosan helyes, de nem több, kicsit husis a teste, de ""jól pakolható"". Mikor az egyeztettünk, feltűnt, hogy plusszként nevezi meg a nf-át, holott a hirdetésben nem így szerepel és nem hangzott el a popó, ekkor rákérdeztem, hogy biztos te vagy az ""Andi""? Határozott igent kaptam, de hát mit is várnál ilyenkor? Szóvá tettem a Rosszlányok hirdetést, persze nem Ő írja stb. és ennyi..., fogadd el halandó, vagy menet van. Én maradtam, mert már a krumplit is effektusom volt...

HOZZAALLAS: A ""drágám"" szó folyamatos volt, ezzel még nálam nem lehet behozni a nyilvánvaló átverést, de ezt alapból és igen nagy rutinnal nyomta a leányzó, mint minden mást. Rögtön végig hallgattam a házirendet, hogy ""ne legyek durva"", meg ""kemény"", ""csak finoman"", meg ""ha elélvezek azonnal vegyem ki"" és ""csak óvatosan, mert Ő szűk és fáj neki"". Óhatatlanul is az az érzésed, hogy ez nem az a csaj aki büszkén hirdeti (tán nem is hirdet sehol) a minőségi max. napi 2 pasi fogadását és ennek a megértését és előnyeit. A kérdésem már jött is, miért, tán sokan voltak a mai nap? :) Itt ledöngetnek egy fociklubbot az összes rajongóval egy nap alatt az tuti... A ""csak rám figyelt és barátnő feeleng""-et most nem dobnám oda, sorry.

EGYUTTLET: Gyorsan gumit húzott és gépiesen, rutinból franciázott, amit hamar abba is hagyattam vele és inkább szemből kezdtem élvezkedni, de az előzmények okán, alapból elvetettem a lovagias kényeztetést a részemről. A lényeg, hogy végül tíz perc alatt kivégeztem a vágyaimat, de ez amolyan patronos érzetű volt sajna. Mindvégig passzív volt és a mennyiségi és gyors ledöngetős hozzáállású, időnként ránéztem, de nem tudom merre járt gondolatban. Kaptam viszont egy frenetikus masszírozós beütésű, testápolós odakenős valamit, amit végül is nem tudok el venni tőle mint plusz pontot, de esküszöm, ha legalább ebben éreztem volna a jelentétét, ráadásul kb. 50 másodpercig tartott (bár jelezte előre, hogy sokáig nem tudja majd). Fél órára mentem, de összesen húsz percet raboltam az életből.

ELEGEDETTSEG_ES_AJANLAS: Anditól (a valós hirdetőtől és a valós pozitív beszámolók íróitól) elnézést kérek, de a teljes képhez ez is hozzá tartozik ezzel a hirdetéssel kapcsolatban. Nyilvánvalóan senki nem fogadja azt el indokként, hogy Andi ma nem elérhető és nem akarta kikapcsolni a telefont ezért más lányok felveszik a telefonját (és persze véletlenül, mindenkit Andinak hívnak). Ha már más hirdetését fogadja valaki, akkor legalább a vállalt dolgok azonosak legyenek és ne kérjen többet a nála már másként szereplő plusz dolgokért. Egyébként ebben a környezetben, a valós ""Andiban"" sem tudnék hinni, mert valahogy ez az egész nem fér bele egy tartalmilag minőségi hirdetői hozzáállásba... Nyilvánvalóan nem lesz ez egy ""elfogadott"" beszámoló a lány (lányok) részéről... :-)",7,,18314,2026-02-26 01:22:14
